createdAt,issues_totalCount,name,updatedAt,primaryLanguage_name,pullRequests_totalCount,releases_totalCount
2442,15505,freeCodeCamp,14,JavaScript,15272,0
889,0,996.ICU,14,Rust,1020,0
2881,587,free-programming-books,14,None,3516,0
1912,275,coding-interview-university,14,None,249,0
2955,9538,vue,14,JavaScript,1046,210
3021,10629,react,14,JavaScript,7742,96
1630,529,developer-roadmap,14,None,62,4
2608,282,awesome,14,Shell,552,0
2124,32559,tensorflow,14,C++,13134,145
3686,20723,bootstrap,14,JavaScript,7106,72
1990,263,public-apis,14,Python,1177,0
2845,878,You-Dont-Know-JS,14,None,350,0
1647,171,system-design-primer,14,Python,188,0
1295,504,CS-Notes,14,Java,375,0
4386,3877,ohmyzsh,14,Shell,2485,0
2370,58239,flutter,14,Dart,21433,0
3949,0,gitignore,14,None,1442,0
2189,118040,vscode,14,TypeScript,7330,43
1256,233,javascript-algorithms,14,JavaScript,206,0
3649,0,linux,14,C,9,0
1210,428,build-your-own-x,14,None,84,0
1872,723,Python,14,Python,1576,0
3225,1092,javascript,14,JavaScript,765,0
1212,641,JavaGuide,14,Java,482,0
1279,507,Python-100-Days,14,Python,12,0
2622,195,awesome-python,14,Python,525,0
3957,24041,youtube-dl,14,Python,1528,340
3991,2089,d3,14,JavaScript,438,169
2426,21637,react-native,14,JavaScript,621,161
3063,15561,electron,14,C++,12771,792
559,265,fucking-algorithm,14,None,202,0
2676,541,computer-science,14,None,191,0
2295,185,the-art-of-command-line,14,None,303,0
1871,7139,create-react-app,14,JavaScript,1883,81
2569,45495,go,14,Go,0,0
2570,3099,axios,14,JavaScript,398,26
2857,0,free-programming-books-zh_CN,14,None,269,3
1371,274,30-seconds-of-code,14,JavaScript,748,4
2470,13511,node,14,JavaScript,3223,244
2643,39041,kubernetes,14,Go,48853,483
1204,4727,deno,14,Rust,5238,141
1481,8407,terminal,14,C++,2133,54
2539,22967,angular,14,TypeScript,2990,83
2321,21810,ant-design,14,TypeScript,7564,420
2632,31138,TypeScript,14,TypeScript,10956,140
4179,10571,three.js,14,JavaScript,8753,123
1575,4937,puppeteer,14,TypeScript,1970,69
1791,10135,next.js,14,JavaScript,6973,1102
3611,784,animate.css,14,CSS,270,22
2034,6555,models,14,Python,2184,17
2570,13572,material-ui,14,JavaScript,11380,316
1597,3224,vue-element-admin,14,Vue,313,49
1446,275,nodebestpractices,14,JavaScript,668,0
2579,676,java-design-patterns,14,Java,762,0
2613,310,awesome-go,14,Go,2437,0
999,53,LeetCodeAnimation,14,Java,63,0
3737,0,laravel,14,PHP,1325,85
3483,17454,Font-Awesome,14,JavaScript,184,43
1992,7908,storybook,14,TypeScript,5801,845
2337,602,thefuck,14,Python,462,16
2283,618,awesome-selfhosted,14,JavaScript,1615,0
2142,200,awesome-vue,14,None,3179,0
3147,21046,moby,14,Go,16906,97
2013,441,realworld,14,Shell,184,0
4255,9025,angular.js,15,JavaScript,788,0
3412,0,django,14,Python,6737,0
3461,8426,webpack,14,JavaScript,3849,340
853,9827,PowerToys,14,C#,2611,41
4094,40311,rust,14,Rust,35741,89
2485,1100,FiraCode,14,Clojure,106,26
3738,2000,reveal.js,14,JavaScript,349,34
2139,0,swift,14,C++,34003,33
3238,22660,spring-boot,14,Java,41,103
2286,1899,redux,14,TypeScript,1436,64
3908,6401,bitcoin,14,C++,10538,35
4165,2186,flask,14,Python,1247,14
1883,31,tech-interview-handbook,14,JavaScript,142,0
3330,8214,opencv,14,C++,9897,54
4222,27711,elasticsearch,14,Java,41360,55
1060,115,advanced-java,14,Java,61,0
3511,16643,atom,14,JavaScript,3875,534
2834,955,json-server,14,JavaScript,97,10
2997,6346,netdata,14,C,4451,47
1415,125,Front-End-Checklist,14,None,168,1
1740,106,clean-code-javascript,14,JavaScript,146,0
4533,2122,jquery,14,JavaScript,516,2
1602,44,project-based-learning,14,None,132,0
3089,6054,Chart.js,14,JavaScript,2459,80
4191,3079,socket.io,14,JavaScript,395,40
4449,3568,express,14,JavaScript,220,141
1243,64,architect-awesome,14,None,49,0
2980,5500,hugo,14,Go,1438,163
1659,46,interviews,14,Java,42,0
1379,2325,scrcpy,14,C,25,22
3397,576,markdown-here,14,JavaScript,20,11
3151,2701,shadowsocks-windows,14,C#,277,54
2348,10701,keras,14,Python,2479,28
1245,400,mall,14,Java,0,1
3475,692,httpie,14,Python,193,36
2707,367,Apollo-11,14,Assembly,296,0
